INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
5/22/2018,IL,KMDW,CHICAGO MIDWAY INTL ARPT,SWA,SOUTHWEST AIRLINES,B-737-800,D,UNKB,Unknown bird,N,,148,43,10,1,A,4,2,1,1,,,,1738,FALSE,FALSE,5,2018,Day,1052,AGL,,31C,,,,,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPORTED,,,,,,1,,,MOR: MDW-M-xxxx/xx/xx-xxxx,SWA1758 REPORTED BIRD STRIKE OFF THE DEPARTURE END OF 31C. NO DAMAGE REPORTED BUT WILL FOLLOW UP WHEN ARRIVED AT DESTINATION. NOTE: NUMBER STRUCK NOT REPORTED ASSUME 1.,,,,,,,,MOR,Tower,,,,FALSE,FALSE
5/22/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,UAL,UNITED AIRLINES,A-319,D,UNKB,Unknown bird,,,04A,6,,,A,4,2,1,1,,,,2178,TRUE,FALSE,5,2018,Day,1055,AGL,,28R,,,,0,Departure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPORTED,,,,,,1,,,MOR: ORD-M-xxxx/xx/xx-xxxx,"AT APPROX. 1555Z, RWY 28R WAS CLSD FOR FOD. WHILE GETTING FURTHER INFORMATION, THE CONTROLLER ADVISED THAT UAL2178 REPORTED STRIKING A BIRD A FEW THOUSAND FEET DOWN THE RUNWAY. 1 BIRD OF UNKNOWN TYPE WAS FOUND. UAL2178 CONTINUED TO DESTINATION.",,,,,,,,MOR,Tower,,,,FALSE,FALSE
5/22/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,YL001,European starling,,,,,,,,,,,,,,,,TRUE,FALSE,5,2018,,,AGL,,9R/27L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,"Found during daily runway inspection on the North shoulder between the 2,000 and 3,000 feet remaining distance markers. IDed by WS.",,,,,Deleted,Deleted,5/22/2018,FAA Form 5200-7-E,Carcass Found,,,9/17/2018,FALSE,FALSE
5/22/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,ZC204,American pipit,,,,,,,,,,,,,,,,TRUE,FALSE,5,2018,,,AGL,,10L/28R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,Found during daily inspection. IDed by WS. ASSUME 1 STRUCK.,,,,,Deleted,Deleted,5/22/2018,FAA Form 5200-7-E,Carcass Found,,,9/17/2018,FALSE,FALSE
5/22/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,S5213,Common nighthawk,,,,,,,,,,,,,,,,TRUE,FALSE,5,2018,,,AGL,,10L/28R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,Found during daily runway inspection at the north shoulder by taxiway N3. IDed by WS,,,,,Deleted,Deleted,5/24/2018,FAA Form 5200-7-E,Carcass Found,,,9/17/2018,FALSE,FALSE
5/21/2018,IL,KMDW,CHICAGO MIDWAY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,E1001,Common loon,,,,,,,,,,,,,,,,TRUE,FALSE,5,2018,,,AGL,,13C,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Large,,xxxx-x-xx-xxxxxx,"During routine airfield inspections, MDW OPS noticed an injured bird near the intersection of RWY 13C and TWY W. The bird soon after died from injuries and WS later identified the bird remains as a Common Loon. ",,,,,Deleted,Deleted,5/30/2018,FAA Form 5200-7-E,Carcass Found,,,9/17/2018,FALSE,FALSE
5/21/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,LOF,TRANS STATES AIRLINES,EMB-145,D,UNKB,Unknown bird,,,332,14,1,10,A,3,2,5,5,,,,4658,FALSE,FALSE,5,2018,Night,2128,AGL,,10C,,0,,0,Landing Roll,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPORTED,,,,,,1,,,MOR: ORD-M-xxxx/xx/xx-xxxx,LOF4658 REPORTED HITTING A BIRD WHILE LANDING RWY 10C. CITY INSPECTED THE RWY AND NO BIRD FOUND,,,,,,,,MOR,Tower,,,,FALSE,FALSE
5/21/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,ZT301,Common grackle,,,,,,,,,,,,,,,,TRUE,FALSE,5,2018,,,AGL,,9L/27R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,Y,xxxx-x-xx-xxxxxx,OPS found on runway at the midpoint just North of centerline during daily inspection. IDed by WS,,,,,Deleted,Deleted,5/24/2018,FAA Form 5200-7-E,Carcass Found,,,9/17/2018,FALSE,FALSE
5/21/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,AAL,AMERICAN AIRLINES,B-737-800,D,YI005,Barn swallow,N,,148,43,10,1,A,4,2,1,1,,,N825NN,1244,TRUE,FALSE,5,2018,Day,1450,AGL,,9L/27R,,0,,0,Landing Roll,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Overcast,Rain,2 to 10,1,Small,,"xxxx-x-xx-xxxxxx, Rx; MOR: ORD-M-xxxx/xx/xx-xxxx; Other source= FAA Form xxxx-x-E",MOR Remarks: AAL1244 REPORTED STRIKING SEVERAL SMALL BIRDS ON THEIR LANDING ROLL RY9L.  NO ASSISTANCE REQUESTED.  RY9L CLOSED FOR CDA INSPECTION; TWO SMALL BIRDS LOCATED ON RUNWAY.   Other Remarks: Pilot reported seeing at least 3 birds during landing. 1 Barn swallow was found on the runway. No damage was seen or reported. Ided by WS.,,,,,Deleted,Deleted,5/22/2018,Multiple,Airport Operations,,,9/17/2018,FALSE,FALSE
5/20/2018,IL,KMLI,QUAD CITY ARPT,SKW,SKYWEST AIRLINES,CRJ100/200,D,UNKB,Unknown bird,,,188,10,22,4,A,3,2,5,5,,,,4203,FALSE,FALSE,5,2018,Night,2154,AGL,,,,1000,,,Local,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,,,MOR: MLI-M-xxxx/xx/xx-xxxx,PILOT REPORTED BIRD STRIKE ON NOSE OF AIRCRAFT AT 1000FT. NO DAMAGE REPORTED. NOTE: NUMBER STRUCK NOT REPORTED ASSUME 1.,,,,,,,,MOR,Tower,,,,FALSE,FALSE
5/20/2018,IL,KMDW,CHICAGO MIDWAY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,J2109,Mallard,,,,,,,,,,,,,,,,TRUE,FALSE,5,2018,,,AGL,,31C,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,xxxx-x-xx-xxxxxx,"During routine airfield inspections, MDW OPS picked up bird remains at intersection of RWY 31C and TWY A. WS later identified the remains as a Mallard. ",,,,,Deleted,Deleted,5/30/2018,FAA Form 5200-7-E,Carcass Found,,,9/17/2018,FALSE,FALSE
5/20/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,K5114,American kestrel,,,,,,,,,,,,,,,,TRUE,FALSE,5,2018,,,AGL,,9R/27L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,OPS found during daily runway inspection on C taxiway in the runway safety area. IDed by WS,,,,,Deleted,Deleted,5/22/2018,FAA Form 5200-7-E,Carcass Found,,,9/17/2018,FALSE,FALSE
5/20/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,SKW,SKYWEST AIRLINES,CRJ700,D,UNKBL,Unknown bird - large,M?,,188,16,22,4,A,4,2,5,5,,,N760SK,3197,FALSE,FALSE,5,2018,Day,700,AGL,,,,6000,250,35,Approach,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Large,N,xxxx-x-xx-xxxxxx,The nosecone was dented severely and some paint was peeled away just behind the nosecone.35 miles NW of Ohare,,,,,Deleted,Deleted,5/21/2018,FAA Form 5200-7-E,Pilot,,,9/17/2018,FALSE,TRUE
5/20/2018,IL,KDPA,DUPAGE AIRPORT,KFS,KALITTA CHARTERS,CL-600,D,J2204,Canada goose,M?,,188,6,,,A,3,2,5,5,,,N242CK,88,TRUE,FALSE,5,2018,Dusk,830,AGL,,20-Feb,,50,140,0,Approach,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Some Cloud,,,2 to 10,Large,,xxxx-x-xx-xxxxxx,,500,,,,Deleted,Deleted,5/21/2018,FAA Form 5200-7-E,Airport Operations,,,9/17/2018,FALSE,TRUE
5/19/2018,IL,KMDW,CHICAGO MIDWAY INTL ARPT,SWA,SOUTHWEST AIRLINES,B-737-700,D,NE1,Gulls,N,,148,42,10,1,A,4,2,1,1,,,N413WN,3770,TRUE,FALSE,5,2018,Day,438,AGL,,31C,,20,150,0,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Overcast,None,2 to 10,1,Medium,N,xxxx-x-xx-xxxxxx,"Saw 2 birds just after lift off.  Didn’t hear the bird hit, engine instruments fine, discovered after flight to DEN.Right Flap",,,,,Deleted,Deleted,5/19/2018,FAA Form 5200-7-E,Pilot,,,9/17/2018,FALSE,FALSE
5/19/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,T1002,Chimney swift,,,,,,,,,,,,,,,,TRUE,FALSE,5,2018,,,AGL,,10L/28R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,Found on inspection. IDed by WS,,,,,Deleted,Deleted,5/22/2018,FAA Form 5200-7-E,Carcass Found,,,9/17/2018,FALSE,FALSE
5/19/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,YI005,Barn swallow,,,,,,,,,,,,,,,,TRUE,FALSE,5,2018,,,AGL,,9L/27R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,Found near taxiway M1. IDed by WS.,,,,,Deleted,Deleted,5/22/2018,FAA Form 5200-7-E,Carcass Found,,,9/17/2018,FALSE,FALSE
5/19/2018,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,ZX303,Savannah sparrow,,,,,,,,,,,,,,,,TRUE,FALSE,5,2018,,,AGL,,4R/22L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,Found with 2500 feet remaining.,,,,,Deleted,Deleted,5/22/2018,FAA Form 5200-7-E,Carcass Found,,,9/17/2018,FALSE,FALSE
