Species List,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
(Yellow-shafted Flicker) Northern Flicker,165,151,153,174,146,202,154,159,122,120,110,104,116,92,75,89,121
Pileated Woodpecker,43,37,25,28,35,46,36,62,28,48,34,48,39,47,40,48,36
unid. woodpecker,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
American Kestrel,161,170,157,113,150,174,147,120,76,93,107,88,139,110,77,89,117
Eastern Wood-Pewee,268,288,286,282,271,338,299,310,292,350,365,365,309,245,244,290,362
Acadian Flycatcher,31,39,25,34,44,41,37,51,51,57,50,36,44,44,63,67,116
Alder Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Willow Flycatcher,39,37,55,53,33,42,33,36,35,54,25,45,41,22,46,34,27
Least Flycatcher,1,4,2,2,0,1,1,0,1,0,0,1,1,0,1,0,0
unid. Empidonax flycatcher,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Eastern Phoebe,115,144,182,130,157,210,147,209,169,162,198,165,211,206,131,166,279
Great Crested Flycatcher,192,270,171,218,191,180,159,223,217,196,188,185,180,186,197,204,265
Western Kingbird,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Eastern Kingbird,234,329,288,344,326,330,309,411,283,262,258,265,310,304,204,246,281
Loggerhead Shrike,25,21,13,21,9,17,8,5,0,8,2,4,2,3,4,1,2
White-eyed Vireo,67,92,82,73,95,110,113,145,126,145,134,110,109,102,153,135,207
Bell's Vireo,6,7,3,6,6,12,12,8,6,17,20,12,19,19,13,11,15
Yellow-throated Vireo,25,34,39,27,28,52,38,36,58,48,26,40,40,60,48,37,49
Warbling Vireo,317,378,367,388,310,419,354,349,285,295,281,281,278,257,267,237,334
Red-eyed Vireo,63,76,79,70,64,85,60,75,86,88,79,73,63,67,74,74,110
Blue Jay,665,784,699,560,525,703,528,645,417,432,453,460,558,449,391,372,482
American Crow,2626,2535,2121,1431,1298,1778,1531,1454,1054,1321,1476,1532,2018,1744,1594,1310,1543
Fish Crow,6,8,2,10,13,38,17,22,18,24,21,26,23,32,24,23,52
Horned Lark,1992,2434,2121,2326,1554,1760,1637,1719,1508,1667,1327,1601,1258,1376,1263,925,935
Purple Martin,231,282,281,220,248,382,350,408,272,259,230,328,381,240,178,201,263
Tree Swallow,115,128,46,86,115,111,100,137,108,139,214,111,123,116,139,169,197
Northern Rough-winged Swallow,239,192,206,158,143,295,229,174,170,197,163,205,255,181,121,180,209
Bank Swallow,220,150,172,154,230,388,68,226,101,153,230,83,173,160,67,91,114
Cliff Swallow,171,419,261,521,377,551,715,655,763,710,832,919,894,956,884,1076,1591
