INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
12/29/2011,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,K3302,Red-tailed hawk,,,,,,,,,,,,,,,,TRUE,FALSE,12,2011,,,AGL,,28-Oct,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,xxxx-x-xx-xxxxxx  (x/xx/xx UPDATED REMARKS WITH BAND #),USGS BAND # 185709773. OPS FOUND AT SHOULDER OF RWY AND GRASS NEAR RWY 28 WINDSOCK. NO STRIKE REPTD. ID BY WS. RED-TAILED HAWK AGE CLASS WAS AFTER SECOND YR (ASY).,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,5/15/2014,FALSE,FALSE
12/27/2011,IL,KRFD,CHICAGO/ROCKFORD INTL ARPT,UPS,UPS AIRLINES,A-300,D,UNKBM,Unknown bird - medium,N,,04A,1,34,46,A,4,2,1,1,,,N170UP,753,FALSE,FALSE,12,2011,Night,2356,AGL,,1,,0,133,0,Landing Roll,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Medium,N,SOURCE = TWO xxxx-x (xxxx-xx-xx-xxxxxx) & AIRLINE REPT,PILOT REPTD STRIKE TO BELOW THE WINDSCREEN ON F/O SIDE OF RADOME DURING FLARE. ARPT VEHICLE UNABLE TO FIND ANY REMAINS. NO CARCASS FOUND AFTER INSPN OF RWY FROM THRESHOLD TO 4000 RDR. UPS EVENT REPT 34473.,,,,,Deleted,Deleted,,Multiple,Air Transport Operations,,,2/8/2012,FALSE,FALSE
12/25/2011,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,K3302,Red-tailed hawk,,,,,,,,,,,,,,,,TRUE,FALSE,12,2011,,,AGL,,28-Oct,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,xxxx-x-xx-xxxxxx,OPS FOUND IN RWY 10/28 RSA ON TWY M5. NO STRIKE REPTD. ID BY WS. RED-TAILED HAWK AGE CLASS WAS HATCH YEAR (HY).,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,2/8/2012,FALSE,FALSE
12/21/2011,IL,KBLV,SCOTT AFB/MIDAMERICA ARPT,MIL,MILITARY,C-40,D,YH004,Horned lark,N,,148,,22,,A,4,2,1,1,,,,,FALSE,FALSE,12,2011,,1200,AGL,,,,0,,,Landing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Antenna Skin,,,,,,,Small,,SOURCE = BASH NR xxxxxx,,,,,,Deleted,Deleted,,BASH,,,,9/11/2012,FALSE,FALSE
12/15/2011,IL,KORD,CHICAGO O'HARE INTL ARPT,GJS,GOJET AIRLINES,CRJ700,D,K5102,Peregrine falcon,N,,188,16,22,4,A,4,2,5,5,,,N174GJ,3702,TRUE,FALSE,12,2011,Day,805,AGL,,28,,0,,0,Landing Roll,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Overcast,None,1,1,Medium,,xxxx-x-xx-xxxxxx  (x/xx/xx UPDATED REMARKS WITH BAND #),USGS BAND # 168721324. FOUND JUST N OF C/L AT TWY ZV. ID BY WS.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,5/15/2014,FALSE,FALSE
12/15/2011,IL,KMDW,CHICAGO MIDWAY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,O2111,Rock pigeon,,,,,,,,,,,,,,,,TRUE,FALSE,12,2011,,,AGL,,31C,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-xx-xx-xxxxxx,REMAINS FOUND BY OPS DURING AIRFLD INSPN IN APRCH OF RWY 31C. REMAINS ID'D BY WS.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,2/8/2012,FALSE,FALSE
12/14/2011,IL,KMDW,CHICAGO MIDWAY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,O2111,Rock pigeon,,,,,,,,,,,,,,,,TRUE,FALSE,12,2011,,,AGL,,22R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-xx-xx-xxxxxx,OPS FOUND REMAINS DURING AIRFLD INSPN. REMAINS FOUND ON RWY 4L AT TWY F. REMAINS ID'D BY OPS. 0945 AM DAY.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,2/8/2012,FALSE,FALSE
12/13/2011,IL,KBLV,SCOTT AFB/MIDAMERICA ARPT,MIL,MILITARY,C-135,,UNKB,Unknown bird,N,,148,,,,A,,,,,,,,,FALSE,FALSE,12,2011,,1742,AGL,,,,400,,,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,SOURCE = BASH NR xxxxxx,,,,,,Deleted,Deleted,,BASH,,,,9/11/2012,FALSE,FALSE
12/12/2011,IL,KMDW,CHICAGO MIDWAY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,O2111,Rock pigeon,,,,,,,,,,,,,,,,TRUE,FALSE,12,2011,,,AGL,,13R/31L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-xx-xx-xxxxxx,BIRD FOUND ON SERVICE RD IN THE APRCH OF RWY 31L W/I 250 FT OF C/L AND ABOUT 600 FT OFF END OF RWY PAVEMENT.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,2/8/2012,FALSE,FALSE
12/5/2011,IL,KORD,CHICAGO O'HARE INTL ARPT,TCF,SHUTTLE AMERICA,EMB-170,D,K3303,Rough-legged hawk,,,332,,22,4,A,4,2,1,1,,,,3491,TRUE,FALSE,12,2011,Day,945,AGL,,32L,,0,,0,Take-off run,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,None,,Overcast,None,,1,Medium,,xxxx-x-xx-xxxxxx,FOUND AT TWY T4 ON RWY. ID BY WS.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,2/8/2012,FALSE,FALSE
